site_name,site_id,latitude,longitude,entity_id,entity_name,sample_id,depth_sample,interp_age,d13C_measurement
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295021,215.5,14541,-7.07
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295022,216.6,14535,-7.1
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295023,220,14514,-7.11
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295024,223.3,14493,-7.04
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295025,226.6,14473,-7.01
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295026,230,14452,-7.08
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295027,233.3,14432,-6.58
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295028,236.6,14411,-6.62
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295029,240,14391,-7.55
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295030,243.3,14370,-7.08
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295031,246.6,14350,-6.17
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295032,250,14329,-6.26
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295033,253.3,14309,-6.46
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295034,256.6,14288,-6.21
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295035,260,14267,-7.42
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295036,263.3,14247,-6.33
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295037,266.6,14227,-6.07
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295038,270,14206,-6.14
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295039,273.3,14186,-6.07
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295040,276.6,14165,-6.4
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295041,280,14144,-6.22
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295042,283.3,14124,-6.51
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295043,286.6,14104,-5.49
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295044,290,14083,-6.87
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295045,293.3,14062,-7.18
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295046,296.6,14042,-7.48
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295047,300,14021,-7.79
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295048,303.3,14001,-7.04
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295049,306.6,13981,-7.62
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295050,310,13960,-7.98
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295051,313.3,13939,-7.19
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295052,316.6,13919,-7.12
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295053,320,13898,-7.61
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295054,323.3,13878,-7.57
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295055,324.5,13870,-7.32
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295056,326.6,13852,-7.06
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295057,330,13823,-6.91
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295058,333.3,13794,-6.32
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295059,336.6,13766,-6.48
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295060,340,13736,-6.94
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295061,343.3,13708,-7.16
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295062,346.6,13679,-7.07
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295063,353.3,13621,-7.47
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295064,356.6,13593,-7.71
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295065,360,13564,-7.23
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295066,363.3,13535,-7.29
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295067,366.6,13507,-7.15
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295068,370,13477,-7.54
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295069,373.3,13449,-7.18
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295070,376.6,13420,-7.74
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295071,374.5,13438,-7.56
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295072,380,13393,-7.38
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295073,383.3,13365,-7.09
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295074,386.6,13338,-7.66
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295075,390,13310,-7.28
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295076,393.3,13282,-7.41
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295077,396.6,13255,-7.18
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295078,400,13227,-7.37
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295079,403.3,13199,-7.61
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295080,406.6,13172,-7.26
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295081,410,13144,-7.33
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295082,413.3,13117,-7.42
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295083,416.6,13089,-7.48
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295084,420,13061,-7.55
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295085,423.3,13034,-7.65
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295086,426.6,13006,-7.7
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295087,430,12978,-7.87
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295088,433.3,12951,-7.79
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295089,436.6,12923,-7.89
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295090,440,12895,-7.76
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295091,443.3,12868,-7.99
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295092,446.6,12840,-8.08
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295093,450,12812,-8.07
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295094,453.3,12785,-8.2
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295095,456.6,12757,-8.19
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295096,460,12729,-7.8
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295097,463.3,12702,-8.17
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295098,466.6,12674,-8.27
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295099,470,12646,-7.91
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295100,473.3,12619,-6.91
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295101,476.6,12592,-6.59
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295102,480,12563,-5.99
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295103,483.3,12536,-5.68
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295104,486.6,12509,-5.68
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295105,490,12480,-5.86
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295106,493.3,12453,-6.3
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295107,496.6,12426,-5.91
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295108,500,12398,-6.03
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295109,503.3,12370,-6.64
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295110,506.6,12343,-6.56
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295111,510,12315,-6.45
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295112,511,12306,-6.56
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295113,513.3,12294,-6.67
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295114,516.6,12275,-6.47
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295115,520,12256,-6.52
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295116,523.3,12237,-6.03
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295117,526.6,12219,-6.72
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295118,530,12200,-5.89
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295119,533.3,12181,-5.66
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295120,536.6,12163,-5.88
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295121,540,12144,-5.49
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295122,543.3,12125,-6.39
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295123,546.6,12107,-6.3
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295124,550,12088,-6.32
