"","soil.pCO2","soil.d13C","soil.R14C","cave.pCO2","gas.volume","d13C","d44Ca","MgCa","DCP","ts"
"93",5780,-19.74,95,2500,450,-7.99676378164627,-0.284127446903315,1.78187325961146,6.53580616949363,7926
"94",5780,-19.74,95,3000,450,-8.1867538482816,-0.340783028566216,1.70314817877744,6.53580616949363,7926
"95",5780,-19.74,95,3500,450,-8.38937588948241,-0.400958942166296,1.62322822357555,6.53580616949363,7926
"96",5780,-19.74,95,4000,450,-8.60627164078853,-0.465065184295121,1.54208587429774,6.53580616949363,7926
"97",5780,-19.74,95,4500,450,-8.83895579945293,-0.533577686837261,1.4597033892555,6.53580616949363,7926
"98",5780,-19.74,95,2500,500,-7.99866382288528,-0.283870177921863,1.78224907134463,6.386356608887,7926
"99",5780,-19.74,95,3000,500,-8.1889284117348,-0.340557749191284,1.70346300163633,6.386356608887,7926
"100",5780,-19.74,95,3500,500,-8.39184373535107,-0.400769022128156,1.62348137879299,6.386356608887,7926
"101",5780,-19.74,95,4000,500,-8.60879248055413,-0.464914548593098,1.54227671749747,6.386356608887,7926
"102",5780,-19.74,95,4500,500,-8.84153626680662,-0.533470723987683,1.45983159017952,6.386356608887,7926
"103",6780,-19.84,100,3000,100,-7.94410613729635,-0.265327657748227,1.80958544073105,6.08453886899402,7926
"104",6780,-19.84,100,3500,100,-8.35253738763953,-0.387062402901317,1.64188633712617,6.08453886899402,7926
"105",6780,-19.84,100,4000,100,-8.57871119923281,-0.454035478384851,1.55614651318916,6.08453886899402,7926
"106",6780,-19.84,100,4500,100,-8.57871119923281,-0.454035478384851,1.55614651318916,6.08453886899402,7926
"107",6780,-19.84,95,3500,250,-8.19433278233173,-0.318669148014261,1.73439510717994,7.45319207378823,7926
"108",6780,-19.84,95,4000,250,-8.4080000484108,-0.382301713065192,1.64834153109178,7.45319207378823,7926
"109",6780,-19.84,95,4500,250,-8.6372486818862,-0.45025468691029,1.56100709536333,7.45319207378823,7926
"110",6780,-19.84,95,3500,300,-8.20083389174098,-0.31803733137048,1.73529814836599,7.05903052720197,7926
"111",6780,-19.84,95,4000,300,-8.41487866879453,-0.381768170984009,1.64906700790762,7.05903052720197,7926
"112",6780,-19.84,95,4500,300,-8.64453990236491,-0.449831123868205,1.56155293482581,7.05903052720197,7926
"113",6780,-19.84,95,3500,350,-8.20541426981602,-0.317586778570966,1.73594245895018,6.7742860470391,7926
"114",6780,-19.84,95,4000,350,-8.41980478452964,-0.381387933794941,1.64958427662343,6.7742860470391,7926
"115",6780,-19.84,95,4500,350,-8.64955783556665,-0.449528901225849,1.5619425617264,6.7742860470391,7926
"116",6780,-19.84,95,3500,400,-8.20868846506351,-0.317247796419173,1.73642741544152,6.5589524414326,7926
"117",6780,-19.84,95,4000,400,-8.4231778458097,-0.381101754460267,1.64997373026202,6.5589524414326,7926
"118",6780,-19.84,95,4500,400,-8.65329342400034,-0.44930201802873,1.56223515296188,6.5589524414326,7926
"119",6780,-19.84,95,3500,450,-8.21209077907792,-0.31698447679207,1.73680424509747,6.39040760845535,7926
"120",6780,-19.84,95,4000,450,-8.4266106504699,-0.380879509839227,1.65027626201925,6.39040760845535,7926
"121",6780,-19.84,95,4500,450,-8.65676070486798,-0.449124918417199,1.56246359601583,6.39040760845535,7926
"122",6780,-19.84,95,3500,500,-8.21382224013611,-0.31677345641945,1.73710629524848,6.25489648006545,7926
"123",6780,-19.84,95,4000,500,-8.428653006474,-0.380701384986026,1.65051877923265,6.25489648006545,7926
"124",6780,-19.84,95,4500,500,-8.65913699561738,-0.44898359157397,1.5626459232445,6.25489648006545,7926
"125",7780,-19.91,100,3500,100,-8.14600244704988,-0.302695410416276,1.75740373876187,5.61277753571562,7926
"126",7780,-19.91,100,4000,100,-8.36769871384579,-0.368812348527259,1.66680976858872,5.61277753571562,7926
"127",7780,-19.91,100,4500,100,-8.60598961168024,-0.439536620631675,1.57490065803784,5.61277753571562,7926
"128",7780,-19.91,100,6000,100,-8.86302977347431,-0.515453406344624,1.48168568913324,5.61277753571562,7926
"129",7780,-19.91,95,3500,200,-8.18823708361793,-0.298268778134436,1.76384587481734,7.79056160871022,7926
"130",7780,-19.91,95,4000,200,-8.41214628817211,-0.365072594622484,1.67197670471219,7.79056160871022,7926
"131",7780,-19.91,95,4500,200,-8.41214628817211,-0.365072594622484,1.67197670471219,7.79056160871022,7926
"132",7780,-19.91,95,6000,200,-8.9126183333188,-0.513340104780657,1.48428307734489,7.79056160871022,7926
"133",7780,-19.91,95,3500,250,-8.19706719591451,-0.297378460297426,1.76514503775228,7.25429841796062,7926
"134",7780,-19.91,95,4000,250,-8.42143929121564,-0.364320416673336,1.67301839232462,7.25429841796062,7926
"135",7780,-19.91,95,4500,250,-8.42143929121564,-0.364320416673336,1.67301839232462,7.25429841796062,7926
"136",7780,-19.91,95,6000,250,-8.92290474017376,-0.512915683690385,1.48480557808911,7.25429841796062,7926
"137",7780,-19.91,95,3500,300,-8.20281927885858,-0.296783333631923,1.76601412685021,6.89131126036575,7926
"138",7780,-19.91,95,4000,300,-8.42757571422814,-0.36381749389347,1.67371536847405,6.89131126036575,7926
"139",7780,-19.91,95,4500,300,-8.42757571422814,-0.36381749389347,1.67371536847405,6.89131126036575,7926
"140",7780,-19.91,95,6000,300,-8.92991325481984,-0.512631186657675,1.4851559949869,6.89131126036575,7926
"141",7780,-19.91,95,3500,350,-8.20786786840799,-0.296358581326928,1.76663471459784,6.62930083982325,7926
"142",7780,-19.91,95,4000,350,-8.43267506552559,-0.363458639674463,1.67421289973837,6.62930083982325,7926
"143",7780,-19.91,95,4500,350,-8.43267506552559,-0.363458639674463,1.67421289973837,6.62930083982325,7926
"144",7780,-19.91,95,6000,350,-8.93514477941171,-0.512428596514902,1.48540559491777,6.62930083982325,7926
"145",7780,-19.91,95,3500,400,-8.21088532415282,-0.296039500550238,1.76710109749489,6.43127813813764,7926
"146",7780,-19.91,95,4000,400,-8.4357536074986,-0.363189040552547,1.67458681929767,6.43127813813764,7926
"147",7780,-19.91,95,4500,400,-8.4357536074986,-0.363189040552547,1.67458681929767,6.43127813813764,7926
"148",7780,-19.91,95,6000,400,-8.93899274313004,-0.512275972412435,1.48559368727209,6.43127813813764,7926
"149",7780,-19.91,95,3500,450,-8.21345838637722,-0.295790922136163,1.76746452288988,6.27635394505925,7926
"150",7780,-19.91,95,4000,450,-8.43864174547715,-0.362979013385889,1.67487817794332,6.27635394505925,7926
"151",7780,-19.91,95,4500,450,-8.43864174547715,-0.362979013385889,1.67487817794332,6.27635394505925,7926
"152",7780,-19.91,95,6000,450,-8.94196558575977,-0.512157744142261,1.48573940797837,6.27635394505925,7926
"153",7780,-19.91,95,3500,500,-8.21609847649185,-0.295591328520195,1.76775641881832,6.15183913290042,7926
"154",7780,-19.91,95,4000,500,-8.44129651837178,-0.36281016077766,1.67511248204662,6.15183913290042,7926
"155",7780,-19.91,95,4500,500,-8.44129651837178,-0.36281016077766,1.67511248204662,6.15183913290042,7926
"156",7780,-19.91,95,6000,500,-8.94466249262071,-0.512061993678925,1.48585745379134,6.15183913290042,7926
"157",6780,-19.84,100,6000,100,-9.08415626036452,-0.602818963209573,1.38085338070306,6.08453886899402,8558
"158",6780,-19.84,100,6000,150,-9.12018158922723,-0.602014706521437,1.3817654003949,4.18881568678823,8558
"159",6780,-19.84,95,6000,450,-9.17230289296334,-0.600932614543637,1.38299470921265,6.39040760845535,8558
"160",6780,-19.84,95,6000,500,-9.17478312004216,-0.600878486660239,1.38305626246065,6.25489648006545,8558
"161",780,-15.42,100,500,350,-3.6666194378665,-0.494977383005857,1.27840332097496,7.63117771728958,12496
"162",780,-15.42,100,500,400,-3.62449280221966,-0.493920928826275,1.27945881932288,6.76888664773907,12496
"163",780,-15.42,100,500,450,-3.59072262703597,-0.493097010826449,1.28028278676623,6.08180939050138,12496
"164",780,-15.42,100,500,500,-3.56344915009255,-0.492437168922555,1.28094315252669,5.52148921890074,12496
"165",1030,-16.63,100,500,300,-4.27170912279029,-0.359756991976767,1.42263363551129,7.46136045434135,12496
"166",1030,-16.63,100,500,350,-4.23360823475505,-0.357922708345781,1.42469718209761,6.49453773285493,12496
"167",1030,-16.63,100,500,400,-4.20438565310011,-0.356544208835352,1.42625023750886,5.74971381433567,12496
"168",1030,-16.63,100,500,450,-4.18129507396348,-0.355470300352878,1.42746147824984,5.1583279170859,12496
"169",1030,-16.63,100,500,500,-4.16258270710623,-0.354610350893791,1.42843224453363,4.67740721465977,12496
"170",1280,-17.37,100,500,300,-4.59836850952533,-0.269636713550958,1.52790729860941,6.57686466192877,12496
"171",1280,-17.37,100,1000,300,-5.76460633585407,-0.57123342445875,1.20261038956917,6.57686466192877,12496
"172",1280,-17.37,100,500,350,-4.47356412520106,-0.242729807476416,1.56082537809606,5.71495303500597,12496
"173",1280,-17.37,100,1000,350,-5.74045814647139,-0.570617356415726,1.20318529509022,5.71495303500597,12496
"174",1280,-17.37,100,500,400,-4.45161078022127,-0.241224422549369,1.56269328846308,5.05300600699803,12496
"175",1280,-17.37,100,1000,400,-5.72215223405259,-0.570154020740232,1.20361799139099,5.05300600699803,12496
"176",1280,-17.37,100,500,450,-4.43404737103525,-0.240052190861206,1.56414952498821,4.52868664931263,12496
"177",1280,-17.37,100,1000,450,-5.70757446356662,-0.56979317788497,1.20395514993639,4.52868664931263,12496
"178",1280,-17.37,100,500,500,-4.41990261160297,-0.239113378443623,1.56531687579451,4.10312365511128,12496
"179",1280,-17.37,100,1000,500,-5.69587285125983,-0.569503939837568,1.20422552650618,4.10312365511128,12496
"180",1530,-17.87,100,500,250,-4.75621788123626,-0.183056302380469,1.6365705149614,6.98641223701894,12496
"181",1530,-17.87,100,1000,250,-5.91279365683883,-0.484426825311357,1.28839899296912,6.98641223701894,12496
"182",1530,-17.87,100,500,300,-4.72433237373771,-0.180316844596629,1.64014698577528,5.92219149665699,12496
"183",1530,-17.87,100,1000,300,-5.88639060887108,-0.483162464283371,1.28968657170128,5.92219149665699,12496
"184",1530,-17.87,100,500,350,-4.60600655281096,-0.153258368351117,1.67569242901814,5.13960240616516,12496
"185",1530,-17.87,100,1000,350,-5.86714595153681,-0.48225682234837,1.29060989524992,5.13960240616516,12496
"186",1530,-17.87,100,500,400,-4.58833113555412,-0.151730636722913,1.6777344108527,4.53994287456851,12496
"187",1530,-17.87,100,1000,400,-5.85261860078856,-0.481576278574036,1.29130430188158,4.53994287456851,12496
"188",1530,-17.87,100,500,450,-4.57461365743861,-0.150541298761242,1.6793259707186,4.06579815943705,12496
"189",1530,-17.87,100,1000,450,-5.8411058031923,-0.481046094905402,1.29184563067717,4.06579815943705,12496
"190",1530,-17.87,100,500,500,-4.5635219528144,-0.149589111737791,1.68060136107911,3.68150074296999,12496
"191",1530,-17.87,100,1000,500,-5.8318255031139,-0.480621649235569,1.29227921092985,3.68150074296999,12496
"192",1780,-18.22,100,500,250,-4.75065723326784,-0.095532084475658,1.75442710843873,6.39578247995497,12496
"193",1780,-18.22,100,1000,250,-6.02468578065174,-0.429769682512293,1.3455969370513,6.39578247995497,12496
"194",1780,-18.22,100,500,300,-4.72405801324283,-0.0927582629600687,1.75831976218758,5.41434114723836,12496
"195",1780,-18.22,100,1000,300,-6.00298043623648,-0.428373425592765,1.3470918623624,5.41434114723836,12496
"196",1780,-18.22,100,500,350,-4.70474473264604,-0.0907739904215665,1.76111013759472,4.69433066504853,12496
"197",1780,-18.22,100,1000,350,-5.98716473761862,-0.427373907087691,1.34816328221914,4.69433066504853,12496
"198",1780,-18.22,100,500,400,-4.68983744422169,-0.0892841161337365,1.76320842209642,4.14359246517659,12496
"199",1780,-18.22,100,1000,400,-5.97497367016764,-0.426622830586365,1.34896908986567,4.14359246517659,12496
"200",1780,-18.22,100,500,450,-4.67849241649931,-0.0881243905197504,1.76484361271902,3.70872193976691,12496
"201",1780,-18.22,100,1000,450,-5.8238389381795,-0.389155088839077,1.38979253610372,3.70872193976691,12496
"202",1780,-18.22,100,500,500,-4.6692275349568,-0.0871962058102138,1.76615351324771,3.35663875170268,12496
"203",1780,-18.22,100,1000,500,-5.81591718864882,-0.388629551572039,1.39037475092506,3.35663875170268,12496
"204",2280,-18.07,100,1000,200,-5.47208305109759,-0.319475269287994,1.46919910988303,6.76238084929917,12496
"205",2280,-18.07,100,1500,200,-6.10545113991379,-0.484669869093901,1.287927450166,6.76238084929917,12496
"206",2280,-18.07,100,1000,250,-5.44056415517602,-0.31710136457519,1.4719977248476,5.52026754026069,12496
"207",2280,-18.07,100,1500,250,-6.07759863046475,-0.483266236433022,1.28936688399506,5.52026754026069,12496
"208",2280,-18.07,100,1000,300,-5.27695137495776,-0.278310336634946,1.51815749093858,4.66400675453038,12496
"209",2280,-18.07,100,1500,300,-6.0580333365563,-0.482327392234305,1.29033090561737,4.66400675453038,12496
"210",2280,-18.07,100,1000,350,-5.26108491870392,-0.277080031292565,1.519656935005,4.03801242930604,12496
"211",2280,-18.07,100,1500,350,-6.04433193567777,-0.481655292528416,1.29102163580789,4.03801242930604,12496
"212",2280,-18.07,100,1000,400,-5.24895948449344,-0.276156203174005,1.52078397485051,3.56042225472168,12496
"213",2280,-18.07,100,1500,400,-6.03364109168991,-0.481150427200094,1.29154082853987,3.56042225472168,12496
"214",2780,-19.01,100,1000,200,-5.92825405554642,-0.206245049136911,1.60822194210031,6.02854218787173,12496
"215",2780,-19.01,100,1000,250,-5.90879541696243,-0.203689538262553,1.61153689811457,4.91143522824753,12496
"216",2780,-19.01,100,1000,300,-5.89554904410727,-0.201981774905158,1.613756477295,4.14399862454542,12496
"217",2780,-19.01,100,1000,350,-5.88594167124312,-0.200760064191008,1.61534645101305,3.58429708689439,12496
"218",2780,-19.01,95,1000,450,-5.8728392263383,-0.199128732313869,1.6174722792652,7.68152265577222,12496
"219",2780,-19.01,95,1000,500,-5.86877794063667,-0.198557151427803,1.61821786641834,7.42421447991611,12496
"220",3280,-19.23,100,1000,150,-5.88285365557983,-0.136101555543777,1.70116227212168,7.0962793561836,12496
"221",3280,-19.23,100,1000,200,-5.85616745691409,-0.131892706381698,1.70696039456374,5.46826163082799,12496
"222",3280,-19.23,100,1000,250,-5.83990385119681,-0.129358758685472,1.71046180218998,4.44836587014596,12496
"223",3280,-19.23,100,1000,300,-5.82834004309951,-0.127665988296166,1.71280533743375,3.74953912278423,12496
"224",3280,-19.23,95,1000,400,-5.81437884533353,-0.125545819390727,1.7157456468041,7.71120372454216,12496
"225",3280,-19.23,95,1000,450,-5.80977693605012,-0.124838126523974,1.71672835045494,7.42225010766723,12496
"226",3280,-19.23,95,1000,500,-5.80633093379035,-0.124271595990932,1.71751548224343,7.18912579321085,12496
"227",3780,-19.38,100,1000,150,-5.75512330109185,-0.063722240260522,1.80287586717884,6.53499154854358,12496
"228",3780,-19.38,100,1000,200,-5.73169396453077,-0.0595541443244585,1.80897908141847,5.02609984250527,12496
"229",3780,-19.38,100,1000,250,-5.71714119302735,-0.0570452473250826,1.81266380448696,4.08383694177869,12496
"230",3780,-19.38,100,1500,250,-6.3408272900134,-0.223771864195088,1.58710174130902,4.08383694177869,12496
"231",3780,-19.38,100,1000,300,-5.70756361427649,-0.0553693256216681,1.81512979543119,3.43952602908163,12496
"232",3780,-19.38,100,1500,300,-6.33248218264937,-0.222463183710886,1.58878834722077,3.43952602908163,12496
"233",3780,-19.38,95,1000,400,-5.69522979144832,-0.0532707666489607,1.81822290149557,7.48461197131092,12496
"234",3780,-19.38,95,1500,400,-6.32170943873556,-0.220824385526286,1.59090332463093,7.48461197131092,12496
"235",3780,-19.38,95,1000,450,-5.69144818655831,-0.0525703092977281,1.81925661594451,7.21907991828862,12496
"236",3780,-19.38,95,1500,450,-6.31837705820759,-0.220277198204055,1.59161022913975,7.21907991828862,12496
"237",3780,-19.38,95,1000,500,-5.68851660189662,-0.0520098593193019,1.82008416814322,7.00499041136797,12496
"238",3780,-19.38,95,1500,500,-6.31602290492084,-0.219839581293568,1.59217583206217,7.00499041136797,12496
"239",4780,-19.6,100,1500,150,-6.22597988099194,-0.133295462296679,1.70715141960623,5.69540659830694,12496
"240",4780,-19.6,100,1500,200,-6.2095254749015,-0.130119538534146,1.71158056905432,4.36797307579248,12496
"241",4780,-19.6,100,1500,250,-6.20042743990179,-0.128207259753377,1.71425374996591,3.54294038541992,12496
"242",4780,-19.6,95,1500,350,-6.18859276222927,-0.126016497856818,1.71732204633961,7.44383633305149,12496
"243",4780,-19.6,95,1500,400,-6.18554577467356,-0.125330568686577,1.71828401165247,7.14983206395595,12496
"244",4780,-19.6,95,1500,450,-6.18266132728584,-0.124796817636885,1.71903297640286,6.91917195750638,12496
"245",4780,-19.6,95,1500,500,-6.180068513717,-0.124369633734522,1.71963267573178,6.73337603435483,12496
"246",5780,-19.74,100,1500,100,-6.05031523842947,-0.0476188980659265,1.82937315958209,7.34335511422902,12496
"247",5780,-19.74,100,1500,150,-6.02290348659207,-0.041439840413493,1.83865497325702,5.09030665848655,12496
"248",5780,-19.74,100,1500,200,-6.00960529339734,-0.0383322299282174,1.84334300118077,3.89598861280075,12496
"249",6780,-19.84,95,2000,250,-6.34562290204388,-0.101885336116325,1.75343643199721,7.71994055937953,12496
"250",6780,-19.84,95,2000,300,-6.3417059840426,-0.10087156811267,1.75490156527162,7.28483657397948,12496
"251",6780,-19.84,95,2000,350,-6.33886185344001,-0.100146107152033,1.7559509002827,6.97005000113989,12496
